name lat lon
CNU 37.0639 -76.4947
Aberdeen 57.15 -2.15
Adelaide -34.916666666666664 138.6
Algiers 36.833333333333336 3.0
Amsterdam 52.36666666666667 4.883333333333333
Ankara 39.916666666666664 32.916666666666664
Asuncion -25.25 -57.666666666666664
Athens 37.96666666666667 23.716666666666665
Auckland -36.86666666666667 174.75
Bangkok 13.75 100.5
Barcelona 41.38333333333333 2.15
Beijing 39.916666666666664 116.41666666666667
Belem -1.4666666666666668 -48.483333333333334
Belfast 54.61666666666667 -5.933333333333334
Belgrade 44.86666666666667 20.533333333333335
Berlin 52.5 13.416666666666666
Birmingham 52.416666666666664 -1.9166666666666665
Bogota 4.533333333333333 -74.25
Bombay 19.0 72.8
Bordeaux 44.833333333333336 -0.5166666666666667
Bremen 53.083333333333336 8.816666666666666
Brisbane -27.483333333333334 153.13333333333333
Bristol 51.46666666666667 -2.5833333333333335
Brussels 50.86666666666667 4.366666666666666
Bucharest 44.416666666666664 26.116666666666667
Budapest 47.5 19.083333333333332
Buenos_Aires -34.583333333333336 -58.36666666666667
Cairo 30.033333333333335 31.35
Calcutta 22.566666666666666 88.4
Canton 23.116666666666667 113.25
Cape_Town -33.916666666666664 18.366666666666667
Caracas 10.466666666666667 -67.03333333333333
Cayenne 4.816666666666666 -52.3
Chicago 41.833333333333336 -87.66666666666667
Chihuahua 28.616666666666667 -106.08333333333333
Chongqing 29.766666666666666 106.56666666666666
Copenhagen 55.666666666666664 12.566666666666666
Cordoba -31.466666666666665 -64.16666666666667
Dakar 14.666666666666666 -17.466666666666665
Darwin -12.466666666666667 130.85
DC 38.9 -77.03333333333333
Djibouti 11.5 43.05
Dublin 53.333333333333336 -6.25
Durban -29.883333333333333 30.883333333333333
Edinburgh 55.916666666666664 -3.1666666666666665
Frankfurt 50.11666666666667 8.683333333333334
Georgetown 6.75 -58.25
Glasgow 55.833333333333336 -4.25
Guatemala_City 14.616666666666667 -90.51666666666667
Guayaquil -2.1666666666666665 -79.93333333333334
Hamburg 53.55 10.033333333333333
Hammerfest 70.63333333333334 23.633333333333333
Havana 23.133333333333333 -82.38333333333334
Helsinki 60.166666666666664 25.0
Hobart -42.86666666666667 147.31666666666666
Hong_Kong 22.333333333333332 114.18333333333334
Huston 29.766666666666666 -95.36666666666666
Iquique -20.166666666666668 -70.11666666666666
Irkutsk 52.5 104.33333333333333
Jakarta -6.266666666666667 106.8
Johannesburg -26.2 28.066666666666666
Kingston 17.983333333333334 -76.81666666666666
Kinshasa -4.3 15.283333333333333
Kuala_Lumpur 3.1333333333333333 101.7
La_Paz -16.45 -68.36666666666666
Leeds 53.75 -1.5
Lima -12.0 -77.03333333333333
Lisbon 38.733333333333334 -9.15
Liverpool 53.416666666666664 -3.0
London 51.53333333333333 -0.08333333333333333
Los_Angeles 34.016666666666666 -118.41666666666667
Lyons 45.75 4.833333333333333
Madrid 40.43333333333333 -3.7
Manchester 53.5 -2.25
Manila 14.583333333333334 120.95
Marseilles 43.333333333333336 5.333333333333333
Mazatlan 23.2 -106.41666666666667
Mecca 21.483333333333334 39.75
Melbourne -37.78333333333333 144.96666666666667
Mexico_City 19.433333333333334 -99.11666666666666
Milan 45.45 9.166666666666666
Montevideo -34.88333333333333 -56.166666666666664
Moscow 55.75 37.6
Munich 48.13333333333333 11.583333333333334
Nagasaki 32.8 129.95
Nagoya 35.11666666666667 136.93333333333334
Nairobi -1.4166666666666667 36.916666666666664
Nanjing 32.05 118.88333333333334
Naples 40.833333333333336 14.25
New_Delhi 28.583333333333332 77.2
New_York 40.666666666666664 -73.91666666666667
Newcastle-on-Tyne 54.96666666666667 -1.6166666666666667
Odessa 46.45 30.8
Osaka 34.53333333333333 135.5
Oslo 59.95 10.7
Panama_City 8.966666666666667 -79.53333333333333
Paramaribo 5.75 -55.25
Paris 48.8 2.3333333333333335
Perth -31.95 115.86666666666666
Plymouth 50.416666666666664 -4.083333333333333
Port_Moresby -9.416666666666666 147.13333333333333
Prague 50.083333333333336 14.433333333333334
Rangoon 16.833333333333332 96.0
Reykjavik 64.06666666666666 -21.966666666666665
Rio_de_Janeiro -22.95 -43.2
Rome 41.9 12.45
Salvador -12.933333333333334 -38.45
Santiago -33.46666666666667 -70.75
St_Petersburg 59.93333333333333 30.3
Sao_Paulo -23.516666666666666 -46.516666666666666
Shanghai 31.166666666666668 121.46666666666667
Singapore 1.2333333333333334 103.91666666666667
Sofia 42.666666666666664 23.333333333333332
Stockholm 59.28333333333333 18.05
Sydney -34.0 151.0
Tananarive -18.833333333333332 47.55
Teheran 35.75 51.75
Tokyo 35.666666666666664 139.75
Tripoli 32.95 13.2
Vancouver 49.25 -123.1
Venice 45.43333333333333 12.333333333333334
Veracruz 19.166666666666668 -96.16666666666667
Vienna 48.233333333333334 16.333333333333332
Vladivostok 43.166666666666664 132.0
Warsaw 52.233333333333334 21.0
Wellington -41.28333333333333 174.78333333333333
Zurich 47.35 8.516666666666667
